filename,date,summary,tags,created_at
【重要】Monday核心问题分析与能力定位-2026-02-01.md,2026-02-01,核心问题：想法太多缺乏聚焦，能力定位：决策+夜间自主+投资研究,重要/AI/架构,2026-02-01 10:46:00
Javis股票复盘工具-2026-01-31.md,2026-01-31,Javis风格股票复盘工具,股票/工具,2026-01-31 18:40:00
AI量化交易系统-2026-01-31.md,2026-01-31,AI量化交易系统框架,量化/股票/AI,2026-01-31 18:43:00
VLM选股策略-2026-01-31.md,2026-01-31,VLM视觉语言模型选股,量化/股票/AI,2026-01-31 18:46:00
A股短线炒股助手APP复盘与作业模块-2026-01-31.md,2026-01-31,短线炒股APP复盘与作业模块,产品/股票/AI,2026-01-31 19:12:00
股市沙鲁-2026-01-31.md,2026-01-31,融合大V智慧的股市AI,AI/股票/量化,2026-01-31 19:21:00
小市值价值选股策略-2026-02-01.md,2026-02-01,小市值价值选股策略,量化/股票/价值,2026-02-01 01:06:00
AI独立贡献者架构-2026-02-01.md,2026-02-01,AI独立贡献者架构，Opus+opencode双脑分离,AI/架构/自动化,2026-02-01 01:22:00
SecondBrain知识库-2026-02-01.md,2026-02-01,Second Brain 持久化知识库,AI/知识管理/自动化,2026-02-01 01:27:00
Monday-Dashboard前端开发_2026-02-01.md,2026-02-01,前端Dashboard开发，公仔动画+Trello看板展示工作状态,AI/前端/可视化,2026-02-01 14:45:00
MorningBrief每日早间简报系统_2026-02-03.md,2026-02-03,每日8点自动发送早间简报：天气/YouTube/任务/趋势/建议,自动化/效率/系统,2026-02-03 11:15:00
ProactiveCoder主动编码工作流_2026-02-03.md,2026-02-03,夜间23-7点自主工作，只创建PR不推送上线,AI/自动化/工作流,2026-02-03 11:20:00
AfternoonResearchReport每日研究简报_2026-02-03.md,2026-02-03,每日16点发送研究简报：概念/工作流/趋势/竞品,研究/学习/自动化,2026-02-03 11:25:00
智能投研信号分析系统_2026-02-04.md,2026-02-04,邮件信号解析+胜率追踪+情绪温度计+证伪识别+板块联动,投资/分析/自动化,2026-02-04 11:40:00
stock_stars信号数据接口开发文档_2026-02-04.md,2026-02-04,信号解析器+SQLite存储+价格获取器+情绪指数+证伪识别+缓存管理,投资/数据/开发,2026-02-04 11:45:00
智能投研产品报表设计方案_2026-02-04.md,2026-02-04,三层产品体系: Telegram快览+Markdown详情+Web仪表盘,投资/产品/设计,2026-02-04 11:50:00
智能投研策略评测与回测机制_2026-02-04.md,2026-02-04,评测指标(命中率/盈亏比/夏普)+回测引擎(仓位/止盈止损)+策略优化,投资/回测/评测,2026-02-04 11:55:00
